SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-TS0015,Data type is not supported in Snowflake,DATA TYPE NAME IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,865,18,N/A,[Person],N/A,[Person],[Person].[Person],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-TS0015,Data type is not supported in Snowflake,DATA TYPE NAME IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,864,17,N/A,[Person],N/A,[Person],[Person].[Person],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0012,Constraint in Default Expression is not Supported,CONSTRAINT IN DEFAULT EXPRESSION IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,862,38,N/A,[Person],N/A,[Person],[Person].[Person],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-TS0015,Data type is not supported in Snowflake,DATA TYPE NAMESTYLE IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,862,17,N/A,[Person],N/A,[Person],[Person].[Person],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0012,Constraint in Default Expression is not Supported,CONSTRAINT IN DEFAULT EXPRESSION IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,854,40,N/A,[Person],N/A,[Password],[Person].[Password],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0012,Constraint in Default Expression is not Supported,CONSTRAINT IN DEFAULT EXPRESSION IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,853,52,N/A,[Person],N/A,[Password],[Person].[Password],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,Low,SSC-EWI-0040,Statement Not Supported,THE STATEMENT IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,853,32,N/A,[Person],N/A,[Password],[Person].[Password],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CheckConstraintDefinition' NODE,input_mssql_tables.sql,845,43,N/A,[Production],N/A,[Location],[Production].[Location],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CheckConstraintDefinition' NODE,input_mssql_tables.sql,844,39,N/A,[Production],N/A,[Location],[Production].[Location],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0012,Constraint in Default Expression is not Supported,CONSTRAINT IN DEFAULT EXPRESSION IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,843,40,N/A,[Production],N/A,[Location],[Production].[Location],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0012,Constraint in Default Expression is not Supported,CONSTRAINT IN DEFAULT EXPRESSION IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,842,45,N/A,[Production],N/A,[Location],[Production].[Location],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0012,Constraint in Default Expression is not Supported,CONSTRAINT IN DEFAULT EXPRESSION IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_tables.sql,841,38,N/A,[Production],N/A,[Location],[Production].[Location],CREATE TABLE,XS
